date,OPEN,HIGH,LOW,CLOSE,VOLUME
08-03-2000,212.01,213.99,211.87,213.68,417
08-04-2000,214.12,214.31,213.09,213.22,164
08-05-2000,213.84,214.16,212.42,212.49,416
08-06-2000,212.68,214.33,212.49,214.16,824
08-07-2000,214.1,215.35,213.94,215.17,724
08-08-2000,215.73,216.39,215.39,216.15,370
08-09-2000,217.05,217.53,216,216.01,626
08-10-2000,216.23,216.4,215.49,215.78,615
08-11-2000,215.23,215.4,213.64,213.67,349
08-12-2000,212.83,213.74,212.81,213.54,981
8-13-00,213.37,215.26,213.14,215.19,150
8-14-00,214.74,216.99,214.44,216.29,132
8-15-00,216.12,217.74,215.81,217.41,334
8-16-00,217.29,217.31,216.63,216.97,333
8-17-00,217.41,217.64,216.89,217.44,909
8-18-00,217.78,217.96,217.51,217.62,829
8-19-00,217.46,218.71,217.3,218.68,944
8-20-00,217.84,219.16,217.83,219.07,402
8-21-00,218.75,219.69,218.36,219.46,975
8-22-00,220.76,220.82,218.1,218.41,417
8-23-00,218.24,221.01,218.07,220.96,365
8-24-00,220.24,220.67,220.1,220.27,682
8-25-00,220.46,220.75,219.02,219.7,649
8-26-00,220.26,220.68,218.28,218.46,217
8-27-00,217.88,217.92,217,217.17,295
8-28-00,217.43,217.72,216.6,216.74,967
8-29-00,216.98,217.38,216.29,216.75,392
8-30-00,216.63,216.95,214.97,215.25,967
8-31-00,215.1,215.24,214.65,214.7,948
09-01-2000,214.86,215.56,214.64,215.14,943
09-02-2000,216.13,216.43,214.29,214.59,733
09-03-2000,215.08,215.51,212.66,212.88,460
09-04-2000,212.14,213.59,211.79,213.51,755
09-05-2000,212.94,214.06,212.83,213.9,240
09-06-2000,213.05,213.19,211.77,212.08,159
09-07-2000,212.46,213.64,212.37,212.83,757
09-08-2000,213.23,214,213.07,213.6,617
09-09-2000,213.66,213.7,211.59,211.8,676
09-10-2000,212.13,213.92,212.04,213.66,559
09-11-2000,213.74,214.36,213.16,214.05,922
09-12-2000,213.44,213.54,212.63,212.77,337
9-13-00,212.11,212.97,212.05,212.82,546
9-14-00,213.78,214.04,212.76,212.76,129
9-15-00,213.53,213.92,213.48,213.82,882
9-16-00,213.7,214.09,213.52,213.99,906
9-17-00,214.28,215.2,213.49,214.72,966
9-18-00,214.99,215.05,212.76,212.92,207
9-19-00,212.63,214.33,212.47,214.25,930
9-20-00,214.44,214.8,211.68,211.89,794
9-21-00,211.24,211.32,210.74,211.17,504
9-22-00,211.02,211.81,210.77,211.48,995
9-23-00,211.84,211.86,209.67,209.87,192
9-24-00,210.18,210.31,209.46,209.8,787
9-25-00,209.63,210.02,208.93,209.04,563
9-26-00,209.86,210.1,208.01,208.41,400
9-27-00,207.55,209.88,207.52,209.85,735
9-28-00,210.21,211.86,210.1,211.83,911
9-29-00,212.31,212.56,210.33,210.34,734
9-30-00,210.33,210.65,209.39,210.05,634
10-01-2000,210.29,210.91,210.06,210.57,469
10-02-2000,211.12,211.28,210.34,210.62,903
10-03-2000,211.14,212.09,211.04,212.09,676
10-04-2000,212.41,213.25,210.67,210.99,805
10-05-2000,210.9,211.19,210.58,211.15,347
10-06-2000,211.39,211.84,211.01,211.34,122
10-07-2000,211.27,211.41,210.32,210.58,110
10-08-2000,209.76,211.1,209.73,210.39,236
10-09-2000,209.92,210.28,209.7,210.23,479
10-10-2000,210.12,211.23,210.09,210.62,259
10-11-2000,211.07,211.26,210.58,210.78,235
10-12-2000,210.34,210.63,208.27,208.49,858
10-13-00,207.89,209.28,207.46,208.89,994
10-14-00,208.79,209.49,208.46,209.33,861
10-15-00,209.47,209.82,209,209.07,800
10-16-00,209.59,209.74,208.59,208.81,457
10-17-00,209.16,209.44,207.32,207.7,365
10-18-00,207.12,207.51,204.8,204.94,767
10-19-00,205.21,206.17,205.04,205.97,179
10-20-00,205.61,206.16,205.46,206.09,850
10-21-00,205.22,205.31,204.66,204.69,247
10-22-00,204.85,205.62,204.82,205.61,577
10-23-00,205.56,205.82,205.35,205.79,259
10-24-00,204.64,204.93,204.36,204.73,188
10-25-00,204.82,204.9,204.31,204.51,529
10-26-00,204.59,205.05,202.67,202.7,533
10-27-00,202.05,202.5,202.03,202.31,513
10-28-00,202,202.04,200.81,200.86,457
10-29-00,200.52,201.43,200.21,200.98,986
10-30-00,201.35,201.6,200.74,201,410
10-31-00,200.89,201.04,200.62,201,737
11-01-2000,200.55,200.78,199.31,199.57,929
11-02-2000,199.27,202.46,199.23,202.13,523
11-03-2000,202.02,202.16,199.92,200.02,276
11-04-2000,200.12,200.51,198.45,198.81,597
11-05-2000,199.06,199.48,198.82,199.06,190
11-06-2000,198.84,200.01,198.67,199.63,704
11-07-2000,198.89,199.24,198.04,198.39,758
11-08-2000,198.71,198.85,197.09,197.1,614
11-09-2000,196.56,196.63,194.96,195.48,997
11-10-2000,195.15,195.48,194.45,194.86,983
11-11-2000,195.89,195.9,195.43,195.61,463
11-12-2000,195.92,196.34,194.18,194.64,509
11-13-00,195.32,195.47,195.04,195.2,666
11-14-00,195.22,196.77,195.18,196.65,698
11-15-00,194.77,197.93,194.05,197.59,763
11-16-00,197.97,198.97,197.79,198.64,659
11-17-00,198.96,199.13,198.89,199.05,594
11-18-00,198.7,200.39,198.42,199.86,820
11-19-00,200.11,200.15,199.09,199.11,572
11-20-00,198.42,199.58,198.33,199.4,253
11-21-00,199.19,200.39,198.99,200.24,395
11-22-00,200.28,200.66,199.09,199.15,691
11-23-00,199.57,199.88,195.79,196.24,794
11-24-00,196.17,197.62,195.96,197,494
11-25-00,197.2,197.48,196.55,197.32,465
11-26-00,198.27,198.71,195.23,195.43,839
11-27-00,195.62,195.65,194.67,194.69,967
11-28-00,194.45,194.6,192.4,192.62,910
11-29-00,192.28,193.15,192.26,192.7,606
11-30-00,192.25,192.8,191.67,192.48,786
12-01-2000,192.57,193.19,192.55,193.11,926
12-02-2000,193.15,194.4,193.13,193.97,107
12-03-2000,194.13,196.7,193.98,196.49,236
12-04-2000,196.76,196.83,196.67,196.71,499
12-05-2000,196.39,196.62,195.39,195.76,286
12-06-2000,195.3,196.23,194.73,195.72,626
12-07-2000,196.04,197.38,196.03,197.08,262
12-08-2000,196.81,197.92,196.36,197.89,470
12-09-2000,197.63,199.51,197.51,199.15,716
12-10-2000,198.87,198.93,197.27,197.72,785
12-11-2000,197.03,198.92,196.77,198.84,923
12-12-2000,200.1,200.33,199.35,199.49,488
12-13-00,199.95,200.59,199.73,200.45,197
12-14-00,200.25,200.59,198.53,199.03,243
12-15-00,199.52,199.95,198.3,198.45,229
12-16-00,198.58,198.67,198.14,198.37,191
12-17-00,198.72,199.74,198.71,199.46,922
12-18-00,198.7,198.74,198.52,198.53,245
12-19-00,198.18,198.3,196.7,196.84,951
12-20-00,197.9,198.2,197.18,197.56,485
12-21-00,198.14,199.02,196.2,196.6,168
12-22-00,196.99,197.61,196.94,197.48,291
12-23-00,197.91,198.21,197.35,197.35,958
12-24-00,197.13,197.73,197.06,197.7,594
12-25-00,197.88,199.15,197.32,198.55,233
12-26-00,199.27,199.55,199.19,199.25,918
12-27-00,199.67,200.58,199.45,199.85,224
12-28-00,200.06,200.76,199.9,200.54,194
12-29-00,200.42,201.59,200.4,201.46,827
12-30-00,201.93,202.06,200.52,200.86,148
12-31-00,201.12,201.64,199.89,199.94,158
01-01-2001,199.85,200.39,199.01,199.44,836
01-02-2001,199.77,199.8,198.95,199.01,570
01-03-2001,198.69,200.26,198.58,200.22,110
01-04-2001,200.34,200.65,198.58,199.03,875
01-05-2001,199.81,199.94,199.27,199.79,890
01-06-2001,200.17,200.17,199.18,199.49,734
01-07-2001,199.59,201.18,199.3,200.78,673
01-08-2001,201.06,202.4,201.06,202.39,859
01-09-2001,201.8,201.91,201.66,201.71,388
01-10-2001,201.59,201.67,200.19,200.85,940
01-11-2001,201.21,201.27,199.34,199.49,190
01-12-2001,199.87,200.12,199.34,199.43,861
1-13-01,199.36,199.85,198.63,198.93,356
1-14-01,199.42,199.51,197.57,197.59,879
1-15-01,197.59,198.06,195.92,196.31,642
1-16-01,195.76,197.57,195.75,197.33,906
1-17-01,198.08,198.38,196.41,196.83,593
1-18-01,197.29,198.89,197.02,198.55,856
1-19-01,198.99,199.21,198.2,198.59,373
1-20-01,199.05,199.12,198.62,198.85,430
1-21-01,198.67,199.24,197.78,197.84,663
1-22-01,198.74,199.1,195.7,196.32,883
1-23-01,196.71,197.67,196.41,197.32,607
1-24-01,197.22,197.35,196.51,196.93,620
1-25-01,196.93,197.05,195.18,195.59,184
1-26-01,194.55,196.95,194.38,196.9,689
1-27-01,195.96,196.06,193.88,194.36,663
1-28-01,194.19,197.81,193.91,197.35,332
1-29-01,197.28,198.03,197.17,197.82,882
1-30-01,197.46,198.96,197.07,198.39,480
1-31-01,198.52,199.46,198.48,199.33,660
02-01-2001,199.18,199.64,198.17,198.23,662
02-02-2001,198.15,198.83,197.91,198.54,855
02-03-2001,198.57,199.43,198.42,198.91,441
02-04-2001,199.42,199.78,198.16,198.42,665
02-05-2001,197.56,198.96,197.41,198.88,319
02-06-2001,199.2,199.68,196.89,197.27,947
02-07-2001,197.64,199.96,197.52,199.71,475
02-08-2001,199.91,200.32,199.27,199.56,950
02-09-2001,199.45,199.84,197.93,198.29,414
02-10-2001,198.29,198.79,197.84,198.32,917
02-11-2001,198.27,199.38,198.26,198.97,330
02-12-2001,198.92,199.22,198.48,198.76,446
2-13-01,198.47,198.52,197.33,198.08,893
2-14-01,198.07,198.32,197.47,197.59,335
2-15-01,197.65,199.08,197.29,198.96,121
2-16-01,199.38,200.25,199.2,199.99,588
2-17-01,200.17,201.02,199.78,200.72,640
2-18-01,200.58,200.63,199.11,199.16,735
2-19-01,199.33,200.85,199.09,200.72,831
2-20-01,200.73,200.77,198.37,198.96,148
2-21-01,198.22,199.14,198.06,199.03,495
2-22-01,199.6,201.48,199.54,201.21,168
2-23-01,200.95,202.4,200.64,201.96,324
2-24-01,202.31,202.79,200.78,201.02,428
2-25-01,200.83,202.66,200.78,202.55,412
2-26-01,202.83,203.09,202.38,203.09,350
2-27-01,203.91,204.05,201.95,202.02,426
2-28-01,201.65,201.69,201.38,201.48,593
03-01-2001,201.49,202.53,201.48,202.21,934
03-02-2001,202.53,203.5,200.98,201.47,944
03-03-2001,201.17,202.35,201.07,202.06,117
03-04-2001,202.28,203.51,202.04,203.41,921
03-05-2001,202.73,203.3,202.21,203.16,721
03-06-2001,203,203.88,202.58,203.78,566
03-07-2001,203.03,204.44,202.61,204.03,545
03-08-2001,204.24,206.89,204.13,206.66,240
03-09-2001,206.06,207.55,205.49,207.33,575
03-10-2001,206.81,209.28,206.67,208.86,277
03-11-2001,207.67,208.03,206.65,207.11,509
03-12-2001,207.49,207.91,205.97,206.35,171
3-13-01,206.4,207.67,206.09,207.35,144
3-14-01,206.81,207.27,206.21,206.68,952
3-15-01,206.8,207.02,206.69,206.99,436
3-16-01,208.25,208.49,206.7,207.13,586
3-17-01,208.6,208.88,208.13,208.49,447
3-18-01,208.31,210.24,207.91,210.08,781
3-19-01,210.41,210.64,209.49,209.52,182
3-20-01,209.82,210.18,208.87,209.02,934
3-21-01,209.38,210.43,209.24,210.11,793
3-22-01,210.16,210.35,208.67,209.34,858
3-23-01,209.77,210.63,209.69,210.29,293
3-24-01,210.96,211.3,208.41,208.88,714
3-25-01,208.64,209.69,208.44,209.65,750
3-26-01,208.98,210.48,208.64,210.29,452
3-27-01,209.52,209.9,209.44,209.76,254
3-28-01,209.42,210.97,209.32,210.41,399
3-29-01,210.46,210.54,205.82,205.88,552
3-30-01,206.5,207.13,206.4,206.99,303
3-31-01,206.13,206.63,204.12,204.41,225
04-01-2001,204.48,204.92,202.45,202.49,260
04-02-2001,202.03,202.08,201.83,201.99,285
04-03-2001,202.02,202.16,200.96,201.3,150
04-04-2001,201.51,203.18,201.51,202.47,829
04-05-2001,203.03,203.03,202.24,202.71,164
04-06-2001,203.55,203.66,202.87,203.24,846
04-07-2001,202.95,206.24,202.78,205.95,827
04-08-2001,206.59,206.8,204.57,204.79,801
04-09-2001,204.67,204.78,204.2,204.21,738
04-10-2001,204.3,206.16,203.74,205.87,694
04-11-2001,205.97,206.53,203.45,203.96,280
04-12-2001,204.56,204.59,203.49,204.08,137
4-13-01,204.14,204.73,202.42,202.96,192
4-14-01,202.74,202.87,202.45,202.61,300
4-15-01,202.13,203.17,202.12,202.86,403
4-16-01,203.6,203.87,200.8,201.03,706
4-17-01,200.78,201.07,200.75,200.85,341
4-18-01,199.73,200.48,199.49,200.31,466
4-19-01,200.49,200.79,200.29,200.78,402
4-20-01,201.05,202.57,200.98,201.79,619
4-21-01,202.09,202.33,201.7,201.95,316
4-22-01,201.74,204.17,201.72,204.02,215
4-23-01,204.39,204.97,202.84,203.07,912
4-24-01,202.33,203.1,202.08,202.72,201
4-25-01,201.78,202.09,201.03,201.13,764
4-26-01,201.24,203.45,200.82,203.38,951
4-27-01,203.8,204.09,201.37,201.39,591
4-28-01,201.62,201.85,200.44,200.6,962
4-29-01,199.71,201.7,199.4,200.99,155
4-30-01,200.9,201.4,200.44,201.15,604
05-01-2001,201.67,201.8,201.36,201.4,930
05-02-2001,202.04,202.2,201.62,201.69,210
05-03-2001,201.98,202.07,201.53,201.53,968
05-04-2001,201.26,203.08,200.99,202.72,545
05-05-2001,202.86,203.47,201.98,202.12,941
05-06-2001,202.65,203.48,202.09,203.02,935
05-07-2001,203.64,203.94,202.99,203.15,714
05-08-2001,202.29,202.89,202.03,202.08,885
05-09-2001,201.48,203.65,201.16,203.64,857
05-10-2001,204.23,204.39,202.98,203.11,982
05-11-2001,202.85,202.95,201.69,201.96,355
05-12-2001,201.99,202.64,201.69,202.64,562
5-13-01,203.36,204.91,202.92,204.76,114
5-14-01,204.49,205.19,204.35,205.1,711
5-15-01,206.1,206.47,205.24,205.53,283
5-16-01,205.08,206.53,204.61,206.51,742
5-17-01,206.73,207.38,204.27,204.29,158
5-18-01,203.95,205.86,203.55,205.66,618
5-19-01,205.95,206.47,204.85,205.06,770
5-20-01,205.78,206.43,205.61,206.4,654
5-21-01,206.08,206.13,205.76,205.93,278
5-22-01,205.66,206.66,205.6,206.54,103
5-23-01,206.2,206.47,205.39,205.67,308
5-24-01,204.61,206.73,204.52,206.62,330
5-25-01,206.88,207.01,203.85,204.17,881
5-26-01,203.82,204.44,202.46,202.71,918
5-27-01,201.8,202.72,201.75,202.07,101
5-28-01,202.87,203.2,202.2,202.23,751
5-29-01,201.91,203.75,201.84,203.65,226
5-30-01,203.45,203.55,203,203.07,583
5-31-01,202.65,204.63,202.52,204.32,158
06-01-2001,204.5,205.57,204.4,205.23,565
06-02-2001,205.16,207.48,204.86,207.23,338
06-03-2001,207.29,207.3,205.93,206.03,127
06-04-2001,206.06,207.62,205.72,207.52,258
06-05-2001,208.33,208.64,206.65,206.9,639
06-06-2001,206.51,206.68,205.48,206.01,553
06-07-2001,206.03,206.27,205.64,205.86,740
06-08-2001,206.04,206.79,206.04,206.38,137
06-09-2001,206.47,206.83,204.28,204.64,686
06-10-2001,204.93,205.15,204,204.23,354
06-11-2001,204.8,205.2,204.63,205,343
06-12-2001,205.32,205.96,203.55,203.76,804
6-13-01,203.17,204.63,202.61,204.36,371
6-14-01,204.32,204.43,201.34,201.42,831
6-15-01,201.92,202.63,201.87,202.59,576
6-16-01,201.87,202.33,201.38,201.83,752
6-17-01,202.35,202.48,200.06,200.36,264
6-18-01,200.48,200.86,200.05,200.41,219
6-19-01,200.59,200.76,200.42,200.43,370
6-20-01,201.21,201.33,201.07,201.3,114
6-21-01,201.11,201.14,199.33,199.65,879
6-22-01,199.56,200.25,199.42,199.49,812
6-23-01,199.03,199.83,198.74,199.51,684
6-24-01,199.02,199.12,198.87,199.07,911
6-25-01,199.36,199.79,198.88,199.64,722
6-26-01,200.09,201.87,199.75,201.34,264
6-27-01,201.59,201.8,201.06,201.46,782
6-28-01,201.69,201.98,201.62,201.65,525
6-29-01,201.37,202.58,201.11,202.19,679
6-30-01,202.27,202.58,200.83,201.59,102
07-01-2001,201.78,202.84,201.55,202.67,542
07-02-2001,202.54,203.01,201.93,202.34,999
07-03-2001,202.23,203.08,202.18,202.64,594
07-04-2001,202.78,203.91,202.17,203.66,524
07-05-2001,204.24,204.45,202.13,202.61,163
07-06-2001,202.4,202.46,201.66,201.88,145
07-07-2001,201.71,201.72,200.38,200.92,113
07-08-2001,201.24,202.53,200.91,202.43,439
07-09-2001,203.5,203.81,203.09,203.67,604
07-10-2001,203.09,204.62,202.94,204.55,589
07-11-2001,204.13,204.58,203.95,204.49,937
07-12-2001,205.1,205.32,203.35,203.37,943
7-13-01,202.96,203.03,202.45,202.73,681
7-14-01,203.01,205.35,202.88,205.26,628
7-15-01,204.67,204.74,202.77,203.07,941
7-16-01,203.34,205.4,202.91,204.94,196
7-17-01,204.06,204.11,203.65,203.97,493
7-18-01,203.3,203.55,202.98,203.33,150
7-19-01,203.2,203.3,202.42,202.51,640
7-20-01,202.85,202.92,202.19,202.63,871
7-21-01,203.13,203.38,201.77,202.16,347
7-22-01,202.25,202.91,202.02,202.7,884
7-23-01,203.04,203.6,201.12,201.41,350
7-24-01,201.11,201.19,200.25,200.7,168
7-25-01,201.54,201.72,199.01,199.3,453
7-26-01,199,199.75,198.99,199.74,671
