timestamp,OPEN_PHOENIX_FEATHERS,HIGH_PHOENIX_FEATHERS,LOW_PHOENIX_FEATHERS,CLOSE_PHOENIX_FEATHERS,VOL_PHOENIX_FEATHERS,%change,,date
35,231.41,231.42,230.07,230.66,147,,,2-4-00
36,230.78,230.8,229.95,230.15,611,,,2-5-00
37,231.61,231.86,228.55,229.04,742,,,2-6-00
38,229.43,230.4,228.96,230.36,705,,,2-7-00
39,229.71,229.9,229.51,229.67,953,,,2-8-00
40,228.92,229.37,228.49,229.04,333,,,2-9-00
41,229.67,229.93,229.52,229.65,936,,,2-10-00
42,229.66,230.83,229.63,230.73,358,,,2-11-00
43,230.83,231.58,230.76,231.57,757,,,2-12-00
44,230.61,231.89,230.38,231.8,478,,,2-13-00
45,231.79,232.37,231.73,232.19,819,,,2-14-00
46,231.49,231.58,230.85,231.07,647,,,2-15-00
47,230.9,231,229.79,229.84,750,,,2-16-00
48,230.11,230.86,229.85,230.65,760,,,2-17-00
49,230.66,230.68,229.29,229.52,890,,,2-18-00
50,229.12,230.41,229.11,229.89,555,,,2-19-00
51,230.33,230.74,229.98,230.57,583,,,2-20-00
52,230.88,231.68,230.49,230.59,119,,,2-21-00
53,230.11,231.16,229.87,231.04,770,,,2-22-00
54,231.08,231.28,229.76,229.85,244,,,2-23-00
55,230.02,230.37,228.9,229.51,429,,,2-24-00
56,229.37,230.38,228.79,229.83,483,,,2-25-00
57,229.69,230.58,229.67,230.54,556,,,2-26-00
58,231.35,231.64,228.9,229.2,692,,,2-27-00
59,229.36,229.87,228.42,228.73,587,,,2-28-00
60,229.67,229.82,228.27,228.36,719,,,2-29-00
61,228.51,228.74,227.72,228.32,379,,,3-1-00
62,228.42,228.48,227.23,227.32,201,,,3-2-00
63,228.13,228.21,226.42,226.89,126,,,3-3-00
64,226.23,226.67,226.13,226.65,779,,,3-4-00
65,226.55,226.56,225.82,226.31,913,,,3-5-00
66,227,227.57,225.92,226.04,785,,,3-6-00
67,226.44,226.88,225.07,225.27,992,,,3-7-00
68,225,226.08,224.88,226.01,749,,,3-8-00
69,227.33,227.36,224.42,224.51,235,,,3-9-00
70,224.73,224.84,223.33,223.64,272,,,3-10-00
71,224.5,224.8,222.19,222.44,811,,,3-11-00
72,222.17,223.08,222.09,222.94,402,,,3-12-00
73,222.81,223.07,221.73,222.05,426,,,3-13-00
74,223.2,223.35,221.43,221.75,747,,,3-14-00
75,221.37,223.1,221.34,223.01,912,,,3-15-00
76,222.64,224.47,222.2,223.72,456,,,3-16-00
77,223.04,223.82,223.01,223.64,139,,,3-17-00
78,224.58,224.59,222.85,222.9,597,,,3-18-00
79,222.87,223.11,222.71,223.06,756,,,3-19-00
80,221.85,223.25,221.38,222.96,468,,,3-20-00
81,223.78,224.19,223.2,223.32,850,,,3-21-00
82,222.83,224.76,222.72,224.44,220,,,3-22-00
83,225.11,225.61,224.95,225.28,352,,,3-23-00
84,224.91,225.89,224.7,225.38,830,,,3-24-00
85,225.23,225.36,223.17,223.3,694,,,3-25-00
86,222.98,224.96,222.95,224.76,946,,,3-26-00
87,224.36,224.37,222.89,222.95,822,,,3-27-00
88,223.24,223.36,221.75,222.43,940,,,3-28-00
89,223.1,224.35,222.88,223.57,174,,,3-29-00
90,223.99,224.89,223.64,224.28,249,,,3-30-00
91,224.01,224.11,223.57,223.75,683,,,3-31-00
92,224.37,224.88,224.23,224.67,756,,,4-1-00
93,224.07,224.39,223.17,223.45,828,,,4-2-00
94,222.91,223.34,221.88,222.2,775,,,4-3-00
95,222.63,222.88,221.17,221.19,463,,,4-4-00
96,220.69,222.35,220.58,222.27,859,,,4-5-00
97,221.73,222.77,221.72,222.29,856,,,4-6-00
98,222.91,223.16,222.36,222.81,321,,,4-7-00
99,222.47,223.44,222.17,223.07,771,,,4-8-00
100,223.71,224.03,221.6,221.89,508,,,4-9-00
101,221.73,223.25,221.69,223.16,472,,,4-10-00
102,223.3,223.48,222.1,222.32,617,,,4-11-00
103,222.13,222.23,221.18,221.23,925,,,4-12-00
104,221.72,222.58,221.72,222.49,655,,,4-13-00
105,222.77,223.35,222.36,223.19,957,,,4-14-00
106,223.35,223.57,222.33,222.54,777,,,4-15-00
107,222.61,224.51,222.47,224.49,186,,,4-16-00
108,224.29,225.4,224.07,225.22,685,,,4-17-00
109,224.55,226.74,224.28,226.22,952,,,4-18-00
110,226.09,226.37,225.75,226.04,217,,,4-19-00
111,226.15,226.26,225.25,225.37,474,,,4-20-00
112,225.42,227.08,225.02,227.08,816,,,4-21-00
113,227.73,228.39,225.63,225.91,274,,,4-22-00
114,225.16,227.14,224.75,226.82,201,,,4-23-00
115,226.59,228.82,226.31,228.34,959,,,4-24-00
116,229.11,231.19,228.97,231.06,217,,,4-25-00
117,230.51,230.65,228.06,228.29,276,,,4-26-00
118,228.4,228.66,228.03,228.05,552,,,4-27-00
119,227.91,227.96,226.67,226.77,917,,,4-28-00
120,226.73,227.76,226.73,227.45,763,,,4-29-00
121,227.55,228.25,223.8,223.93,670,,,4-30-00
122,224.02,224.83,223.78,224.36,909,,,5-1-00
123,223.94,225.13,223.69,224.94,833,,,5-2-00
124,224.77,225.2,222.42,222.73,322,,,5-3-00
125,222.11,223.06,221.99,222.96,134,,,5-4-00
126,222.73,222.81,221.96,222,386,,,5-5-00
127,223.03,223.23,220.93,221.26,990,,,5-6-00
128,221.94,223.59,221.66,223.08,728,,,5-7-00
129,222.36,222.43,221.15,221.18,148,,,5-8-00
130,220.89,221.29,220.28,220.44,345,,,5-9-00
131,220.46,221.16,219.88,220.61,412,,,5-10-00
132,221.15,221.5,220.6,220.88,888,,,5-11-00
133,220.71,220.8,217.26,217.97,273,,,5-12-00
134,217.39,220.66,217.2,220.31,762,,,5-13-00
135,220.57,220.64,218.4,218.57,104,,,5-14-00
136,219.08,219.44,217.67,217.77,405,,,5-15-00
137,218.1,218.33,217.3,217.6,663,,,5-16-00
138,217.96,218.33,217.65,217.88,766,,,5-17-00
139,217.48,219.17,216.91,218.9,493,,,5-18-00
140,219.06,219.49,218.36,218.74,745,,,5-19-00
141,219.65,219.67,217.05,217.22,226,,,5-20-00
142,216.83,217.12,216.77,217.12,863,,,5-21-00
143,216.83,217.78,216.29,217.32,797,,,5-22-00
144,216.97,217.77,216.62,217.38,175,,,5-23-00
145,216.94,217.91,216.84,217.71,483,,,5-24-00
146,217.91,217.96,217.52,217.71,501,,,5-25-00
147,218.14,218.96,218.04,218.34,898,,,5-26-00
148,218,218.72,217.86,218.55,413,,,5-27-00
149,219.03,219.28,218.69,219.03,174,,,5-28-00
150,219.19,219.98,217.77,217.81,533,,,5-29-00
151,217.74,219.16,217.48,218.93,741,,,5-30-00
152,218.69,219.02,218.42,219.01,308,,,5-31-00
153,219,219.12,218.65,218.94,179,,,6-1-00
154,218.92,219.15,216.06,216.25,583,,,6-2-00
155,216.08,216.73,216.03,216.65,958,,,6-3-00
156,215.88,217.04,215.72,217,112,,,6-4-00
157,216.8,216.92,215.87,216.14,133,,,6-5-00
158,216.8,217.06,215.08,215.68,750,,,6-6-00
159,216.03,216.09,215.98,216.04,164,,,6-7-00
160,215.83,218.21,215.48,217.89,820,,,6-8-00
161,217.96,218.42,217.29,217.31,396,,,6-9-00
162,216.46,217.68,216.16,217.43,962,,,6-10-00
163,217.4,219.63,217.37,219.21,464,,,6-11-00
164,218.32,219.97,218.3,219.78,177,,,6-12-00
165,219.92,220.07,219.1,219.35,314,,,6-13-00
166,219.05,219.36,218.4,218.88,312,,,6-14-00
167,218.83,219.44,218.24,218.45,345,,,6-15-00
168,219.26,219.9,217.61,217.77,364,,,6-16-00
169,218.02,218.07,216.89,217.49,182,,,6-17-00
170,217.21,217.76,217.01,217.67,615,,,6-18-00
171,218.29,218.41,216.52,216.71,840,,,6-19-00
172,217.26,217.57,215.32,216.08,845,,,6-20-00
173,215.72,215.82,213.25,213.73,436,,,6-21-00
174,213.2,213.25,211.79,212.03,787,,,6-22-00
175,212.83,213.11,210,210.44,201,,,6-23-00
176,210.44,211.44,210.11,211.29,496,,,6-24-00
177,212.48,212.66,212.43,212.45,228,,,6-25-00
178,212.82,213.29,212.65,213.18,717,,,6-26-00
179,213.08,213.39,209.89,210.37,645,,,6-27-00
180,210.09,210.6,209.04,209.3,508,,,6-28-00
181,208.84,211.51,208.39,211.27,713,,,6-29-00
182,211.53,211.79,209.17,209.26,871,,,6-30-00
183,209.27,210.26,209.22,210.23,602,,,7-1-00
184,210.36,211.02,210.26,210.78,337,,,7-2-00
185,211.27,212.33,211.19,211.63,391,,,7-3-00
186,210.95,211.55,210.71,211.44,178,,,7-4-00
187,212.36,212.75,211.19,211.44,363,,,7-5-00
188,212.17,213.03,212.07,212.36,148,,,7-6-00
189,212.44,212.67,211.91,211.96,945,,,7-7-00
190,212.04,212.25,210.44,210.47,779,,,7-8-00
191,210.31,212.38,210.11,212.22,678,,,7-9-00
192,213.13,213.13,212.05,212.63,352,,,7-10-00
193,212.61,212.88,210.38,210.75,320,,,7-11-00
194,211.23,211.7,210.83,211.24,360,,,7-12-00
195,210.52,212.49,210.48,212.17,919,,,7-13-00
196,213.22,213.43,210.92,211.28,273,,,7-14-00
197,211.53,212.18,210.52,210.75,578,,,7-15-00
198,211.13,211.88,210.92,211.79,817,,,7-16-00
199,211.75,211.97,211.18,211.54,307,,,7-17-00
200,211.57,211.78,210.31,210.92,777,,,7-18-00
201,210.32,211.99,209.69,211.57,656,,,7-19-00
202,211.19,212.46,210.75,212.31,495,,,7-20-00
203,212.95,212.96,212.61,212.7,915,,,7-21-00
204,212.35,212.82,211.97,212.69,786,,,7-22-00
205,213.4,214.39,213.32,214.27,398,,,7-23-00
206,213.85,214.06,212.48,212.5,416,,,7-24-00
207,212.69,213.04,212.08,212.37,606,,,7-25-00
208,212.39,213.07,212.21,213.01,889,,,7-26-00
209,213.52,213.78,212.87,213.18,942,,,7-27-00
210,213.2,213.6,213.1,213.57,303,,,7-28-00
211,212.92,213.2,212.67,213.03,354,,,7-29-00
212,212.86,214.74,212.61,214.6,225,,,7-30-00
213,214.44,214.5,213.06,213.22,430,,,7-31-00
214,213.44,213.68,211.06,211.49,388,,,8-1-00
215,211.05,213.25,210.87,212.66,694,,,8-2-00
216,212.01,213.99,211.87,213.68,417,,,8-3-00
217,214.12,214.31,213.09,213.22,164,,,8-4-00
218,213.84,214.16,212.42,212.49,416,,,8-5-00
219,212.68,214.33,212.49,214.16,824,,,8-6-00
220,214.1,215.35,213.94,215.17,724,,,8-7-00
221,215.73,216.39,215.39,216.15,370,,,8-8-00
222,217.05,217.53,216,216.01,626,,,8-9-00
223,216.23,216.4,215.49,215.78,615,,,8-10-00
224,215.23,215.4,213.64,213.67,349,,,8-11-00
225,212.83,213.74,212.81,213.54,981,,,8-12-00
226,213.37,215.26,213.14,215.19,150,,,8-13-00
227,214.74,216.99,214.44,216.29,132,,,8-14-00
228,216.12,217.74,215.81,217.41,334,,,8-15-00
229,217.29,217.31,216.63,216.97,333,,,8-16-00
230,217.41,217.64,216.89,217.44,909,,,8-17-00
231,217.78,217.96,217.51,217.62,829,,,8-18-00
232,217.46,218.71,217.3,218.68,944,,,8-19-00
233,217.84,219.16,217.83,219.07,402,,,8-20-00
234,218.75,219.69,218.36,219.46,975,,,8-21-00
235,220.76,220.82,218.1,218.41,417,,,8-22-00
236,218.24,221.01,218.07,220.96,365,,,8-23-00
237,220.24,220.67,220.1,220.27,682,,,8-24-00
238,220.46,220.75,219.02,219.7,649,,,8-25-00
239,220.26,220.68,218.28,218.46,217,,,8-26-00
240,217.88,217.92,217,217.17,295,,,8-27-00
241,217.43,217.72,216.6,216.74,967,,,8-28-00
242,216.98,217.38,216.29,216.75,392,,,8-29-00
243,216.63,216.95,214.97,215.25,967,,,8-30-00
244,215.1,215.24,214.65,214.7,948,,,8-31-00
245,214.86,215.56,214.64,215.14,943,,,9-1-00
246,216.13,216.43,214.29,214.59,733,,,9-2-00
247,215.08,215.51,212.66,212.88,460,,,9-3-00
248,212.14,213.59,211.79,213.51,755,,,9-4-00
249,212.94,214.06,212.83,213.9,240,,,9-5-00
250,213.05,213.19,211.77,212.08,159,,,9-6-00
251,212.46,213.64,212.37,212.83,757,,,9-7-00
252,213.23,214,213.07,213.6,617,,,9-8-00
253,213.66,213.7,211.59,211.8,676,,,9-9-00
254,212.13,213.92,212.04,213.66,559,,,9-10-00
255,213.74,214.36,213.16,214.05,922,,,9-11-00
256,213.44,213.54,212.63,212.77,337,,,9-12-00
257,212.11,212.97,212.05,212.82,546,,,9-13-00
258,213.78,214.04,212.76,212.76,129,,,9-14-00
259,213.53,213.92,213.48,213.82,882,,,9-15-00
260,213.7,214.09,213.52,213.99,906,,,9-16-00
261,214.28,215.2,213.49,214.72,966,,,9-17-00
262,214.99,215.05,212.76,212.92,207,,,9-18-00
263,212.63,214.33,212.47,214.25,930,,,9-19-00
264,214.44,214.8,211.68,211.89,794,,,9-20-00
265,211.24,211.32,210.74,211.17,504,,,9-21-00
266,211.02,211.81,210.77,211.48,995,,,9-22-00
267,211.84,211.86,209.67,209.87,192,,,9-23-00
268,210.18,210.31,209.46,209.8,787,,,9-24-00
269,209.63,210.02,208.93,209.04,563,,,9-25-00
270,209.86,210.1,208.01,208.41,400,,,9-26-00
271,207.55,209.88,207.52,209.85,735,,,9-27-00
272,210.21,211.86,210.1,211.83,911,,,9-28-00
273,212.31,212.56,210.33,210.34,734,,,9-29-00
274,210.33,210.65,209.39,210.05,634,,,9-30-00
275,210.29,210.91,210.06,210.57,469,,,10-1-00
276,211.12,211.28,210.34,210.62,903,,,10-2-00
277,211.14,212.09,211.04,212.09,676,,,10-3-00
278,212.41,213.25,210.67,210.99,805,,,10-4-00
279,210.9,211.19,210.58,211.15,347,,,10-5-00
280,211.39,211.84,211.01,211.34,122,,,10-6-00
281,211.27,211.41,210.32,210.58,110,,,10-7-00
282,209.76,211.1,209.73,210.39,236,,,10-8-00
283,209.92,210.28,209.7,210.23,479,,,10-9-00
284,210.12,211.23,210.09,210.62,259,,,10-10-00
285,211.07,211.26,210.58,210.78,235,,,10-11-00
286,210.34,210.63,208.27,208.49,858,,,10-12-00
287,207.89,209.28,207.46,208.89,994,,,10-13-00
288,208.79,209.49,208.46,209.33,861,,,10-14-00
289,209.47,209.82,209,209.07,800,,,10-15-00
290,209.59,209.74,208.59,208.81,457,,,10-16-00
291,209.16,209.44,207.32,207.7,365,,,10-17-00
292,207.12,207.51,204.8,204.94,767,,,10-18-00
293,205.21,206.17,205.04,205.97,179,,,10-19-00
294,205.61,206.16,205.46,206.09,850,,,10-20-00
295,205.22,205.31,204.66,204.69,247,,,10-21-00
296,204.85,205.62,204.82,205.61,577,,,10-22-00
297,205.56,205.82,205.35,205.79,259,,,10-23-00
298,204.64,204.93,204.36,204.73,188,,,10-24-00
299,204.82,204.9,204.31,204.51,529,,,10-25-00
300,204.59,205.05,202.67,202.7,533,,,10-26-00
301,202.05,202.5,202.03,202.31,513,,,10-27-00
302,202,202.04,200.81,200.86,457,,,10-28-00
303,200.52,201.43,200.21,200.98,986,,,10-29-00
304,201.35,201.6,200.74,201,410,,,10-30-00
305,200.89,201.04,200.62,201,737,,,10-31-00
306,200.55,200.78,199.31,199.57,929,,,11-1-00
307,199.27,202.46,199.23,202.13,523,,,11-2-00
308,202.02,202.16,199.92,200.02,276,,,11-3-00
309,200.12,200.51,198.45,198.81,597,,,11-4-00
310,199.06,199.48,198.82,199.06,190,,,11-5-00
311,198.84,200.01,198.67,199.63,704,,,11-6-00
312,198.89,199.24,198.04,198.39,758,,,11-7-00
313,198.71,198.85,197.09,197.1,614,,,11-8-00
314,196.56,196.63,194.96,195.48,997,,,11-9-00
315,195.15,195.48,194.45,194.86,983,,,11-10-00
316,195.89,195.9,195.43,195.61,463,,,11-11-00
317,195.92,196.34,194.18,194.64,509,,,11-12-00
318,195.32,195.47,195.04,195.2,666,,,11-13-00
319,195.22,196.77,195.18,196.65,698,,,11-14-00
320,194.77,197.93,194.05,197.59,763,,,11-15-00
321,197.97,198.97,197.79,198.64,659,,,11-16-00
322,198.96,199.13,198.89,199.05,594,,,11-17-00
323,198.7,200.39,198.42,199.86,820,,,11-18-00
324,200.11,200.15,199.09,199.11,572,,,11-19-00
325,198.42,199.58,198.33,199.4,253,,,11-20-00
326,199.19,200.39,198.99,200.24,395,,,11-21-00
327,200.28,200.66,199.09,199.15,691,,,11-22-00
328,199.57,199.88,195.79,196.24,794,,,11-23-00
329,196.17,197.62,195.96,197,494,,,11-24-00
330,197.2,197.48,196.55,197.32,465,,,11-25-00
331,198.27,198.71,195.23,195.43,839,,,11-26-00
332,195.62,195.65,194.67,194.69,967,,,11-27-00
333,194.45,194.6,192.4,192.62,910,,,11-28-00
334,192.28,193.15,192.26,192.7,606,,,11-29-00
335,192.25,192.8,191.67,192.48,786,,,11-30-00
336,192.57,193.19,192.55,193.11,926,,,12-1-00
337,193.15,194.4,193.13,193.97,107,,,12-2-00
338,194.13,196.7,193.98,196.49,236,,,12-3-00
339,196.76,196.83,196.67,196.71,499,,,12-4-00
340,196.39,196.62,195.39,195.76,286,,,12-5-00
341,195.3,196.23,194.73,195.72,626,,,12-6-00
342,196.04,197.38,196.03,197.08,262,,,12-7-00
343,196.81,197.92,196.36,197.89,470,,,12-8-00
344,197.63,199.51,197.51,199.15,716,,,12-9-00
345,198.87,198.93,197.27,197.72,785,,,12-10-00
346,197.03,198.92,196.77,198.84,923,,,12-11-00
347,200.1,200.33,199.35,199.49,488,,,12-12-00
348,199.95,200.59,199.73,200.45,197,,,12-13-00
349,200.25,200.59,198.53,199.03,243,,,12-14-00
350,199.52,199.95,198.3,198.45,229,,,12-15-00
351,198.58,198.67,198.14,198.37,191,,,12-16-00
352,198.72,199.74,198.71,199.46,922,,,12-17-00
353,198.7,198.74,198.52,198.53,245,,,12-18-00
354,198.18,198.3,196.7,196.84,951,,,12-19-00
355,197.9,198.2,197.18,197.56,485,,,12-20-00
356,198.14,199.02,196.2,196.6,168,,,12-21-00
357,196.99,197.61,196.94,197.48,291,,,12-22-00
358,197.91,198.21,197.35,197.35,958,,,12-23-00
359,197.13,197.73,197.06,197.7,594,,,12-24-00
360,197.88,199.15,197.32,198.55,233,,,12-25-00
361,199.27,199.55,199.19,199.25,918,,,12-26-00
362,199.67,200.58,199.45,199.85,224,,,12-27-00
363,200.06,200.76,199.9,200.54,194,,,12-28-00
364,200.42,201.59,200.4,201.46,827,,,12-29-00
365,201.93,202.06,200.52,200.86,148,,,12-30-00
366,201.12,201.64,199.89,199.94,158,,,12-31-00
367,199.85,200.39,199.01,199.44,836,,,1-1-01
368,199.77,199.8,198.95,199.01,570,,,1-2-01
369,198.69,200.26,198.58,200.22,110,,,1-3-01
370,200.34,200.65,198.58,199.03,875,,,1-4-01
371,199.81,199.94,199.27,199.79,890,,,1-5-01
372,200.17,200.17,199.18,199.49,734,,,1-6-01
373,199.59,201.18,199.3,200.78,673,,,1-7-01
374,201.06,202.4,201.06,202.39,859,,,1-8-01
375,201.8,201.91,201.66,201.71,388,,,1-9-01
376,201.59,201.67,200.19,200.85,940,,,1-10-01
377,201.21,201.27,199.34,199.49,190,,,1-11-01
378,199.87,200.12,199.34,199.43,861,,,1-12-01
379,199.36,199.85,198.63,198.93,356,,,1-13-01
380,199.42,199.51,197.57,197.59,879,,,1-14-01
381,197.59,198.06,195.92,196.31,642,,,1-15-01
382,195.76,197.57,195.75,197.33,906,,,1-16-01
383,198.08,198.38,196.41,196.83,593,,,1-17-01
384,197.29,198.89,197.02,198.55,856,,,1-18-01
385,198.99,199.21,198.2,198.59,373,,,1-19-01
386,199.05,199.12,198.62,198.85,430,,,1-20-01
387,198.67,199.24,197.78,197.84,663,,,1-21-01
388,198.74,199.1,195.7,196.32,883,,,1-22-01
389,196.71,197.67,196.41,197.32,607,,,1-23-01
390,197.22,197.35,196.51,196.93,620,,,1-24-01
391,196.93,197.05,195.18,195.59,184,,,1-25-01
392,194.55,196.95,194.38,196.9,689,,,1-26-01
393,195.96,196.06,193.88,194.36,663,,,1-27-01
394,194.19,197.81,193.91,197.35,332,,,1-28-01
395,197.28,198.03,197.17,197.82,882,,,1-29-01
396,197.46,198.96,197.07,198.39,480,,,1-30-01
397,198.52,199.46,198.48,199.33,660,,,1-31-01
398,199.18,199.64,198.17,198.23,662,,,2-1-01
399,198.15,198.83,197.91,198.54,855,,,2-2-01
400,198.57,199.43,198.42,198.91,441,,,2-3-01
401,199.42,199.78,198.16,198.42,665,,,2-4-01
402,197.56,198.96,197.41,198.88,319,,,2-5-01
403,199.2,199.68,196.89,197.27,947,,,2-6-01
404,197.64,199.96,197.52,199.71,475,,,2-7-01
405,199.91,200.32,199.27,199.56,950,,,2-8-01
406,199.45,199.84,197.93,198.29,414,,,2-9-01
407,198.29,198.79,197.84,198.32,917,,,2-10-01
408,198.27,199.38,198.26,198.97,330,,,2-11-01
409,198.92,199.22,198.48,198.76,446,,,2-12-01
410,198.47,198.52,197.33,198.08,893,,,2-13-01
411,198.07,198.32,197.47,197.59,335,,,2-14-01
412,197.65,199.08,197.29,198.96,121,,,2-15-01
413,199.38,200.25,199.2,199.99,588,,,2-16-01
414,200.17,201.02,199.78,200.72,640,,,2-17-01
415,200.58,200.63,199.11,199.16,735,,,2-18-01
416,199.33,200.85,199.09,200.72,831,,,2-19-01
417,200.73,200.77,198.37,198.96,148,,,2-20-01
418,198.22,199.14,198.06,199.03,495,,,2-21-01
419,199.6,201.48,199.54,201.21,168,,,2-22-01
420,200.95,202.4,200.64,201.96,324,,,2-23-01
421,202.31,202.79,200.78,201.02,428,,,2-24-01
422,200.83,202.66,200.78,202.55,412,,,2-25-01
423,202.83,203.09,202.38,203.09,350,,,2-26-01
424,203.91,204.05,201.95,202.02,426,,,2-27-01
425,201.65,201.69,201.38,201.48,593,,,2-28-01
426,201.49,202.53,201.48,202.21,934,,,3-1-01
427,202.53,203.5,200.98,201.47,944,,,3-2-01
428,201.17,202.35,201.07,202.06,117,,,3-3-01
429,202.28,203.51,202.04,203.41,921,,,3-4-01
430,202.73,203.3,202.21,203.16,721,,,3-5-01
431,203,203.88,202.58,203.78,566,,,3-6-01
432,203.03,204.44,202.61,204.03,545,,,3-7-01
433,204.24,206.89,204.13,206.66,240,,,3-8-01
434,206.06,207.55,205.49,207.33,575,,,3-9-01
435,206.81,209.28,206.67,208.86,277,,,3-10-01
436,207.67,208.03,206.65,207.11,509,,,3-11-01
437,207.49,207.91,205.97,206.35,171,,,3-12-01
438,206.4,207.67,206.09,207.35,144,,,3-13-01
439,206.81,207.27,206.21,206.68,952,,,3-14-01
440,206.8,207.02,206.69,206.99,436,,,3-15-01
441,208.25,208.49,206.7,207.13,586,,,3-16-01
442,208.6,208.88,208.13,208.49,447,,,3-17-01
443,208.31,210.24,207.91,210.08,781,,,3-18-01
444,210.41,210.64,209.49,209.52,182,,,3-19-01
445,209.82,210.18,208.87,209.02,934,,,3-20-01
446,209.38,210.43,209.24,210.11,793,,,3-21-01
447,210.16,210.35,208.67,209.34,858,,,3-22-01
448,209.77,210.63,209.69,210.29,293,,,3-23-01
449,210.96,211.3,208.41,208.88,714,,,3-24-01
450,208.64,209.69,208.44,209.65,750,,,3-25-01
451,208.98,210.48,208.64,210.29,452,,,3-26-01
452,209.52,209.9,209.44,209.76,254,,,3-27-01
453,209.42,210.97,209.32,210.41,399,,,3-28-01
454,210.46,210.54,205.82,205.88,552,,,3-29-01
455,206.5,207.13,206.4,206.99,303,,,3-30-01
456,206.13,206.63,204.12,204.41,225,,,3-31-01
457,204.48,204.92,202.45,202.49,260,,,4-1-01
458,202.03,202.08,201.83,201.99,285,,,4-2-01
459,202.02,202.16,200.96,201.3,150,,,4-3-01
460,201.51,203.18,201.51,202.47,829,,,4-4-01
461,203.03,203.03,202.24,202.71,164,,,4-5-01
462,203.55,203.66,202.87,203.24,846,,,4-6-01
463,202.95,206.24,202.78,205.95,827,,,4-7-01
464,206.59,206.8,204.57,204.79,801,,,4-8-01
465,204.67,204.78,204.2,204.21,738,,,4-9-01
466,204.3,206.16,203.74,205.87,694,,,4-10-01
467,205.97,206.53,203.45,203.96,280,,,4-11-01
468,204.56,204.59,203.49,204.08,137,,,4-12-01
469,204.14,204.73,202.42,202.96,192,,,4-13-01
470,202.74,202.87,202.45,202.61,300,,,4-14-01
471,202.13,203.17,202.12,202.86,403,,,4-15-01
472,203.6,203.87,200.8,201.03,706,,,4-16-01
473,200.78,201.07,200.75,200.85,341,,,4-17-01
474,199.73,200.48,199.49,200.31,466,,,4-18-01
475,200.49,200.79,200.29,200.78,402,,,4-19-01
476,201.05,202.57,200.98,201.79,619,,,4-20-01
477,202.09,202.33,201.7,201.95,316,,,4-21-01
478,201.74,204.17,201.72,204.02,215,,,4-22-01
479,204.39,204.97,202.84,203.07,912,,,4-23-01
480,202.33,203.1,202.08,202.72,201,,,4-24-01
481,201.78,202.09,201.03,201.13,764,,,4-25-01
482,201.24,203.45,200.82,203.38,951,,,4-26-01
483,203.8,204.09,201.37,201.39,591,,,4-27-01
484,201.62,201.85,200.44,200.6,962,,,4-28-01
485,199.71,201.7,199.4,200.99,155,,,4-29-01
486,200.9,201.4,200.44,201.15,604,,,4-30-01
487,201.67,201.8,201.36,201.4,930,,,5-1-01
